,Crash ID,Crash Total Injury Count,Fatal Crash Flag,Person Injury Severity,Person Not Injured Count,Person Total Injury Count,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count.1,Day of Week,Hour of Day,Intersecting Street Name,Number of Lanes,Road Class,Roadway Type,Speed Limit,ST_NAME,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender,geometry
4011,19004960,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44749,7,0,THURSDAY,15:00 - 15:59,UNKNOWN,No Data,CITY STREET,No Data,35,S MAYHILL RD,1 - DRY,1 - CLEAR,FTYROW STOP INTERSECTION,10453757,46,1 - MALE,POINT (2400345.8307910254 7113692.355638659)
4012,19004960,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44749,7,0,THURSDAY,15:00 - 15:59,UNKNOWN,No Data,CITY STREET,No Data,35,S MAYHILL RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,64,1 - MALE,POINT (2400345.8307910254 7113692.355638659)
4013,19006864,1,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;SPEEDING - (OVERLIMIT),44749,7,1,THURSDAY,19:00 - 19:59,,No Data,CITY STREET,No Data,35,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,2 - FEMALE,POINT (2395335.9519916973 7118928.786250574)
4014,19006864,1,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;SPEEDING - (OVERLIMIT),44749,7,1,THURSDAY,19:00 - 19:59,,No Data,CITY STREET,No Data,35,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,32,1 - MALE,POINT (2395335.9519916973 7118928.786250574)
4015,19006864,1,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;SPEEDING - (OVERLIMIT),44749,7,1,THURSDAY,19:00 - 19:59,,No Data,CITY STREET,No Data,35,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,6,1 - MALE,POINT (2395335.9519916973 7118928.786250574)
4016,19006864,1,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;SPEEDING - (OVERLIMIT),44749,7,1,THURSDAY,19:00 - 19:59,,No Data,CITY STREET,No Data,35,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,9,1 - MALE,POINT (2395335.9519916973 7118928.786250574)
4017,19006864,1,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;SPEEDING - (OVERLIMIT),44749,7,1,THURSDAY,19:00 - 19:59,,No Data,CITY STREET,No Data,35,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2395335.9519916973 7118928.786250574)
4018,19008535,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44749,7,0,THURSDAY,17:00 - 17:59,,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,54,1 - MALE,POINT (2390278.015765898 7144182.2649635915)
4019,19008535,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44749,7,0,THURSDAY,17:00 - 17:59,,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,69,2 - FEMALE,POINT (2390278.015765898 7144182.2649635915)
4020,19008535,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44749,7,0,THURSDAY,17:00 - 17:59,,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,78,1 - MALE,POINT (2390278.015765898 7144182.2649635915)
4021,19031813,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE,44749,7,0,THURSDAY,11:00 - 11:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,50,1 - MALE,POINT (2373161.2851999192 7114127.547485816)
4022,19002366,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,0,FRIDAY,11:00 - 11:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,1 - MALE,POINT (2384087.6823480604 7121220.689132718)
4023,19002366,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,0,FRIDAY,11:00 - 11:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,23,1 - MALE,POINT (2384087.6823480604 7121220.689132718)
4024,19002366,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,0,FRIDAY,11:00 - 11:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE,POINT (2384087.6823480604 7121220.689132718)
4025,19002368,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY,44750,7,0,FRIDAY,14:00 - 14:59,UNKNOWN,No Data,CITY STREET,No Data,30,MEDPARK DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,63,2 - FEMALE,POINT (2398963.0351384245 7115286.330240255)
4026,19002368,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY,44750,7,0,FRIDAY,14:00 - 14:59,UNKNOWN,No Data,CITY STREET,No Data,30,MEDPARK DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,68,1 - MALE,POINT (2398963.0351384245 7115286.330240255)
4027,19002369,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44750,7,0,FRIDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",50,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,47,1 - MALE,POINT (2411446.654132974 7136387.137299552)
4028,19002369,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44750,7,0,FRIDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",50,US0377,1 - DRY,1 - CLEAR,CHANGED LANE WHEN UNSAFE,10379535,54,1 - MALE,POINT (2411446.654132974 7136387.137299552)
4029,19002370,0,0,N - NOT INJURED,1,0,TURNED IMPROPERLY - WRONG LANE,44750,7,0,FRIDAY,15:00 - 15:59,W WALNUT ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,TURNED LEFT FROM WRONG LANE,10367283,40,2 - FEMALE,POINT (2386531.1066363957 7127312.831792138)
4030,19002370,0,0,N - NOT INJURED,1,0,TURNED IMPROPERLY - WRONG LANE,44750,7,0,FRIDAY,15:00 - 15:59,W WALNUT ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,29,1 - MALE,POINT (2386531.1066363957 7127312.831792138)
4031,19002371,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44750,7,0,FRIDAY,15:00 - 15:59,,No Data,CITY STREET,No Data,30,N BONNIE BRAE ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,19,1 - MALE,POINT (2377916.955212541 7132949.3992148945)
4033,19002372,1,0,N - NOT INJURED,1,0,DISREGARD TURN MARKS AT INTERSECTION,44750,7,1,FRIDAY,16:00 - 16:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,DISREGARD TURN MARKS,10433440,26,1 - MALE,POINT (2373942.566312814 7132974.903906214)
4034,19002372,1,0,N - NOT INJURED,1,0,DISREGARD TURN MARKS AT INTERSECTION,44750,7,1,FRIDAY,16:00 - 16:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,1 - MALE,POINT (2373942.566312814 7132974.903906214)
4035,19002372,1,0,N - NOT INJURED,1,0,DISREGARD TURN MARKS AT INTERSECTION,44750,7,1,FRIDAY,16:00 - 16:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2373942.566312814 7132974.903906214)
4036,19002372,1,0,C - POSSIBLE INJURY,0,1,DISREGARD TURN MARKS AT INTERSECTION,44750,7,1,FRIDAY,16:00 - 16:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,50,2 - FEMALE,POINT (2373942.566312814 7132974.903906214)
4037,19002373,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44750,7,0,FRIDAY,16:00 - 16:59,,2,CITY STREET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,2 - FEMALE,POINT (2397753.71876474 7097693.853926335)
4038,19002373,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44750,7,0,FRIDAY,16:00 - 16:59,,2,CITY STREET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,55,2 - FEMALE,POINT (2397753.71876474 7097693.853926335)
4039,19002373,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44750,7,0,FRIDAY,16:00 - 16:59,,2,CITY STREET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,15,1 - MALE,POINT (2397753.71876474 7097693.853926335)
4040,19002373,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44750,7,0,FRIDAY,16:00 - 16:59,,2,CITY STREET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,17,2 - FEMALE,POINT (2397753.71876474 7097693.853926335)
4041,19004885,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,1,FRIDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,51,1 - MALE,POINT (2370827.338020601 7109412.780625765)
4042,19004885,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,1,FRIDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,2 - FEMALE,POINT (2370827.338020601 7109412.780625765)
4043,19004885,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,1,FRIDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,68,1 - MALE,POINT (2370827.338020601 7109412.780625765)
4044,19004885,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,1,FRIDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,67,2 - FEMALE,POINT (2370827.338020601 7109412.780625765)
4045,19004885,1,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED,44750,7,1,FRIDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,66,1 - MALE,POINT (2370827.338020601 7109412.780625765)
4046,19006868,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,3,FRIDAY,20:00 - 20:59,,No Data,CITY STREET,No Data,30,E MCKINNEY ST,1 - DRY,1 - CLEAR,OPERATING VEHICLE WITHOUT A DRIVER LICENSE,10410280,25,1 - MALE,POINT (2392621.063990764 7128070.181005914)
4047,19006868,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44750,7,3,FRIDAY,20:00 - 20:59,,No Data,CITY STREET,No Data,30,E MCKINNEY ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,22,1 - MALE,POINT (2392621.063990764 7128070.181005914)
4048,19006868,3,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO CONTROL SPEED,44750,7,3,FRIDAY,20:00 - 20:59,,No Data,CITY STREET,No Data,30,E MCKINNEY ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,27,1 - MALE,POINT (2392621.063990764 7128070.181005914)
4050,19006868,3,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO CONTROL SPEED,44750,7,3,FRIDAY,20:00 - 20:59,,No Data,CITY STREET,No Data,30,E MCKINNEY ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,27,2 - FEMALE,POINT (2392621.063990764 7128070.181005914)
4051,19006870,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44750,7,0,FRIDAY,22:00 - 22:59,TEASLEY LN,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0077,1 - DRY,1 - CLEAR,FAIL TO YIELD ROW TURNING LEFT,10431786,16,1 - MALE,POINT (2389619.0307787145 7121722.2151332535)
4052,19006870,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44750,7,0,FRIDAY,22:00 - 22:59,TEASLEY LN,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,16,1 - MALE,POINT (2389619.0307787145 7121722.2151332535)
4053,19006870,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44750,7,0,FRIDAY,22:00 - 22:59,TEASLEY LN,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,15,1 - MALE,POINT (2389619.0307787145 7121722.2151332535)
4054,19006870,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44750,7,0,FRIDAY,22:00 - 22:59,TEASLEY LN,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,20,2 - FEMALE,POINT (2389619.0307787145 7121722.2151332535)
4055,19008536,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44750,7,0,FRIDAY,19:00 - 19:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,62,2 - FEMALE,POINT (2381690.048896292 7132869.895340887)
4056,19008536,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44750,7,0,FRIDAY,19:00 - 19:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,29,1 - MALE,POINT (2381690.048896292 7132869.895340887)
4057,19009690,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY,44750,7,0,FRIDAY,13:00 - 13:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2386559.2108492213 7133454.835096373)
4058,19009690,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY,44750,7,0,FRIDAY,13:00 - 13:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,59,1 - MALE,POINT (2386559.2108492213 7133454.835096373)
4059,19017430,0,0,N - NOT INJURED,1,0,BACKED WITHOUT SAFETY,44750,7,0,FRIDAY,12:00 - 12:59,,No Data,CITY STREET,No Data,40,N WESTERN BLVD,1 - DRY,1 - CLEAR,BACKED WITHOUT SAFETY,10367284,46,1 - MALE,POINT (2369757.1426818473 7132566.063785894)
4061,19008537,0,0,N - NOT INJURED,1,0,HAD BEEN DRINKING,44751,7,0,SATURDAY,22:00 - 22:59,N WOOD ST,No Data,FARM TO MARKET,No Data,40,FM 426,1 - DRY,1 - CLEAR,DRIVING WHILE INTOXICATED.,No Data,24,1 - MALE,POINT (2390823.919958612 7128117.09318158)
4062,19008537,0,0,N - NOT INJURED,1,0,HAD BEEN DRINKING,44751,7,0,SATURDAY,22:00 - 22:59,N WOOD ST,No Data,FARM TO MARKET,No Data,40,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,26,2 - FEMALE,POINT (2390823.919958612 7128117.09318158)
4063,19008537,0,0,N - NOT INJURED,1,0,HAD BEEN DRINKING,44751,7,0,SATURDAY,22:00 - 22:59,N WOOD ST,No Data,FARM TO MARKET,No Data,40,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,22,2 - FEMALE,POINT (2390823.919958612 7128117.09318158)
4064,19009951,0,0,99 - UNKNOWN,0,0,OTHER (EXPLAIN IN NARRATIVE),44751,7,0,SATURDAY,16:00 - 16:59,,No Data,CITY STREET,No Data,30,W OAK ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2386290.0855212556 7127887.742235125)
4066,19007976,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44752,7,0,SUNDAY,12:00 - 12:59,IH0035E,6,INTERSTATE,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,1 - MALE,POINT (2384690.592632605 7120976.751857362)
4067,19007976,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44752,7,0,SUNDAY,12:00 - 12:59,IH0035E,6,INTERSTATE,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,17,1 - MALE,POINT (2384690.592632605 7120976.751857362)
4070,19007976,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44752,7,0,SUNDAY,12:00 - 12:59,IH0035E,6,INTERSTATE,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,25,1 - MALE,POINT (2384690.592632605 7120976.751857362)
4071,19009357,1,0,A - SUSPECTED SERIOUS INJURY,0,1,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION; FAILED TO CONTROL SPEED,44752,7,1,SUNDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,RAN RED LIGHT,10367284,37,1 - MALE,POINT (2383377.450741559 7132964.006966827)
4072,19009357,1,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION; FAILED TO CONTROL SPEED,44752,7,1,SUNDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,70,1 - MALE,POINT (2383377.450741559 7132964.006966827)
4073,19009357,1,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION; FAILED TO CONTROL SPEED,44752,7,1,SUNDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,65,2 - FEMALE,POINT (2383377.450741559 7132964.006966827)
4074,19009357,1,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION; FAILED TO CONTROL SPEED,44752,7,1,SUNDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,1 - MALE,POINT (2383377.450741559 7132964.006966827)
4077,19023517,2,0,B - SUSPECTED MINOR INJURY,0,1,DISREGARD STOP SIGN OR LIGHT,44752,7,2,SUNDAY,17:00 - 17:59,UNKNOWN,No Data,CITY STREET,No Data,35,LILLIAN MILLER PKWY,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,2 - FEMALE,POINT (2393496.1897670436 7115250.9122860115)
4078,19023517,2,0,B - SUSPECTED MINOR INJURY,0,1,DISREGARD STOP SIGN OR LIGHT,44752,7,2,SUNDAY,17:00 - 17:59,UNKNOWN,No Data,CITY STREET,No Data,35,LILLIAN MILLER PKWY,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,1 - MALE,POINT (2393496.1897670436 7115250.9122860115)
4079,19023518,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED; FAULTY EVASIVE ACTION; ROAD RAGE,44752,7,0,SUNDAY,16:00 - 16:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",65,US0380,1 - DRY,1 - CLEAR,FAIL TO CONTROL SPEED,10446938,18,2 - FEMALE,POINT (2366338.073448741 7133228.118286806)
4080,19023520,0,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION,44752,7,0,SUNDAY,17:00 - 17:59,N CARROLL BLVD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,RAN RED LIGHT,10427548,45,1 - MALE,POINT (2385229.9708331157 7133447.287322786)
4081,19023520,0,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION,44752,7,0,SUNDAY,17:00 - 17:59,N CARROLL BLVD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,2 - FEMALE,POINT (2385229.9708331157 7133447.287322786)
4082,19023520,0,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION,44752,7,0,SUNDAY,17:00 - 17:59,N CARROLL BLVD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE,POINT (2385229.9708331157 7133447.287322786)
4083,19023520,0,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT; DRIVER INATTENTION,44752,7,0,SUNDAY,17:00 - 17:59,N CARROLL BLVD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,19,1 - MALE,POINT (2385229.9708331157 7133447.287322786)
4084,19005254,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44753,7,0,MONDAY,15:00 - 15:59,S WELCH ST,No Data,CITY STREET,No Data,35,EAGLE DR,1 - DRY,1 - CLEAR,FAIL TO YIELD RIGHT OF WAY TURNING LEFT,10439757,19,2 - FEMALE,POINT (2383113.133683912 7124600.034221668)
4085,19005254,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44753,7,0,MONDAY,15:00 - 15:59,S WELCH ST,No Data,CITY STREET,No Data,35,EAGLE DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,20,1 - MALE,POINT (2383113.133683912 7124600.034221668)
4086,19005254,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44753,7,0,MONDAY,15:00 - 15:59,S WELCH ST,No Data,CITY STREET,No Data,35,EAGLE DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,1 - MALE,POINT (2383113.133683912 7124600.034221668)
4088,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,"NO DL, FOLLOWING TOO CLOSELY","10372314, 10372314",40,1 - MALE,POINT (2377842.7268032827 7125215.496305661)
4089,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,42,1 - MALE,POINT (2377842.7268032827 7125215.496305661)
4090,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,1 - MALE,POINT (2377842.7268032827 7125215.496305661)
4091,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,32,1 - MALE,POINT (2377842.7268032827 7125215.496305661)
4092,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,29,1 - MALE,POINT (2377842.7268032827 7125215.496305661)
4093,19005878,0,0,N - NOT INJURED,1,0,FOLLOWED TOO CLOSELY;OTHER (EXPLAIN IN NARRATIVE),44753,7,0,MONDAY,13:00 - 13:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",30,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,42,2 - FEMALE,POINT (2377842.7268032827 7125215.496305661)
4094,19006872,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44753,7,0,MONDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE,POINT (2401757.269099284 7111228.550630974)
4095,19006872,0,0,99 - UNKNOWN,0,0,CHANGED LANE WHEN UNSAFE,44753,7,0,MONDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2401757.269099284 7111228.550630974)
4096,19007979,1,0,99 - UNKNOWN,0,0,OTHER (EXPLAIN IN NARRATIVE),44753,7,1,MONDAY,08:00 - 08:59,UNKNOWN,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,2 - FEMALE,POINT (2388009.580224678 7128225.218842846)
4097,19007979,1,0,B - SUSPECTED MINOR INJURY,0,1,OTHER (EXPLAIN IN NARRATIVE),44753,7,1,MONDAY,08:00 - 08:59,UNKNOWN,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,2 - FEMALE,POINT (2388009.580224678 7128225.218842846)
